"TmdbId","Id","Season Id","Season Number","Episode Number","Overview","Runtime","Still Path","Name"
"1434","1000649","62024","13","1","In a special hour-long crossover with The Simpsons, the Griffins meet the Simpson family when they end up in Springfield after their car is stolen. Stewie takes lessons in pranks and skateboarding from Bart, while Lisa discovers - to her annoyance - that Meg is as good at playing the saxophone as she is. Peter bonds with Homer as they locate the missing car, but then they fight after Peter loses his job when Pawtucket Patriot is revealed to be a copy of Duff Beer.","44","/bpkZvvNHcVYIbZsxbldgjGP6Fm6.jpg","The Simpsons Guy"
"33880","1001154","61338","3","8","Zaheer and his gang try to kidnap Korra.","23","/dxhHf3exNKTPRfkfipo775ZFgZ0.jpg","The Terror Within"
"33880","1001155","61338","3","9","Korra learns the truth about the group that is planning to destroy her.","23","/3sVrcSVGtOTvcmPWcz30eCD8s77.jpg","The Stakeout"
"33880","1001376","61338","3","10","Korra and Asami are stranded in the desert. The members of The Red Lotus negotiate with the Earth Queen.","23","/k94qlK8ZjRLWKr7IcGLdHZToKZl.jpg","Long Live the Queen"
"33880","1001377","61338","3","11","Mako and Bolin deliver an ominous message from Zaheer.","23","/pGXfa0ivWZHqtDr2r8DU4xPN0CK.jpg","The Ultimatum"
"33880","1001378","61338","3","12","When other plans fail, Korra suggests a brave idea to take on the Red Lotus and save the Air Nation.","23","/wmXI0zc26ZYkF8oiNy0MNsx1TGf.jpg","Enter the Void"
"33880","1001379","61338","3","13","Korra battles Zaheer, while Bolin and Mako duel Ghazan and Ming-Hua. The captive members of the Air Nation escape and band together to help Korra.","23","/glqHWJvop38kUawoKXDdnPCjgA5.jpg","Venom of the Red Lotus"
"456","1001513","62103","26","1","A Springfield resident dies, Krusty retires after he's offended by a comedy cable channel roast of him, and Lisa tries to protect Homer from getting hurt.","22","/hWL4vzZKGnCd9Vd8SPM4mmMs9gA.jpg","Clown in the Dumps"
"456","1001514","62103","26","2","When Bart disrespects Homer's authority, Homer makes a point to try his hand at parenting. This proves fruitless, so Marge signs them up for the Relation Ship, where they'll resolve their conflicts at sea. Meanwhile, Marge is in charge of Homer's fantasy football league, but manages to win despite being the underdog.","23","/cIVjbpWZ0N93Rg9VRUpiLQ78azC.jpg","The Wreck of the Relationship"
"456","1001515","62103","26","3","Marge opens a sandwich franchise store after her sandwiches become a huge hit at Springfield Elementary. But running day-to-day at the store proves challenging, especially when the same franchise opens another location across the street.","22","/9CoRTG5LfwulbeBimBCHanW5Si1.jpg","Super Franchise Me"
"456","1001516","62103","26","4","In a Halloween-theme episode Bart reads Aramaic symbols from the bottom of his desk and he and Lisa are transported to an alternate world filled with demons. Also, Moe organizes a ""Clockwork Orange""-ish gang in which member Dum (Homer) falls for a young lady (Marge) who wants him to quit. In a homage to ""The Others,"" the Simpsons reconnect with their earlier incarnations from the Tracey Ullman era.","23","/lkIPgYy4xFKp9oVfivpGr2NgiXP.jpg","Treehouse of Horror XXV"
"456","1001517","62103","26","5","Lisa brings in assembly woman Maxine Lombard to put a stop to Mr. Burns' fracking operation, but is taken aback when the two political opponents find themselves attracted to one another.","23","/wa6KTUFdj7K8tGL85j3VqvBt0vj.jpg","Opposites A-Frack"
"456","1001518","62103","26","6","The Planet Express crew come to present-day Springfield to prevent the Simpsons from destroying the future.","22","/nFFi4rPMD0Gqyo5GQzzQqVbyOnF.jpg","Simpsorama"
"456","1001519","62103","26","9","After Moe convinces Homer to stay out drinking on Christmas Eve, Marge tells Homer not to come home. This leads to Homer's sad trek through lonely Springfield, where he learns that the only place where one should truly get drunk on Christmas is home.","22","/bQNcB0o3ha2m4KK2FXKFgxP4nHi.jpg","I Won't Be Home for Christmas"
"60863","1003844","60937","1","14","Interhigh is coming up next month. The Karasuno volleyball club is pensive, tension rises. They endeavor in training individually and with clearer vision as a team, as they get more inspired. In the meantime, pairings of the preliminaries get announced...","24","/bUtd0n6oOxlRT2pVRUXcclI5nc5.jpg","Formidable Opponents"
"60863","1003845","60937","1","15","The much awaited day of Interhigh preliminaries has come. Karasuno's first match is against Tokonami High School. Sawamura battles against a former teammate in junior high, Ikejiri. The tournament is now official; one loss and you're out of the running. It's time for Karasuno's revival. Onward to the battle!","24","/7zK3InK5novylPrnDMrWeNIVZ5R.jpg","Revival"
"60863","1003846","60937","1","16","Karasuno is winning the first round of Interhigh against Tokonami. But though Tokonami knows they're outclassed, they don't give up, they keep the ball in play. On another court, in spite of Michimiya's encouragement, the Karasuno girls' team is having a rough battle. Everyone is immersed in thought, but there can only be one winner!","24","/5wPBUC5SfOAhuUmbLvDRJkJQEUm.jpg","Winners and Losers"
"60863","1003847","60937","1","17","The second match of Interhigh preliminaries has begun. Azumane has a history with Date Tech, but he is determined to rise to the occasion. Date Tech's tactic is to throw their opponent off kilter with their serves - but Karasuno focuses on receives. The wall of Date Tech looms high; what will Karasuno do?","24","/xgnRGtlDtnSzCWtnkeIcnsoYI4C.jpg","The Iron Wall"
"60863","1003848","60937","1","18","Thanks to Hinata and Kageyama's cornerstone ""freak quicks,"" Karasuno is in the lead against Date Tech. But with Aone blocking, Date Tech starts catching up to Karasuno. This is when the ace Azumane must prove his worth. Will Azumane blast through Date's iron wall?","24","/qvXdmW4l7vCUtcGfg7eTONN1LYA.jpg","Guarding Your Back"
