"TmdbId","Servie Type","ImdbId","Backdrop Path","Poster Path","Title","Overview","Status","Tagline","Language","Popularity","Collection Id","Collection Name","Collection Poster Path","Collection Backdrop Path","Release Date","Runtime"
"11","movie","tt0076759","/zqkmTXzjkAgXmEWLRsY4UpTWCeo.jpg","/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg","Star Wars","Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","Released","A long time ago in a galaxy far, far away...","en","86.929","10","Star Wars Collection","/gq5Wi7i4SF3lo4HHkJasDV95xI9.jpg","/d8duYyyC9J5T825Hg7grmaabfxQ.jpg","1977-05-25","121"
"12","movie","tt0266543","/605ueaRtnDz4Lj3CUluW9wbbh4x.jpg","/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg","Finding Nemo","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Released","There are 3.7 trillion fish in the ocean. They're looking for one.","en","79.177","137697","Finding Nemo Collection","/xwggrEugjcJDuabIWvK2CpmK91z.jpg","/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg","2003-05-30","100"
"13","movie","tt0109830","/qdIMHd4sEfJSckfVJfKQvisL02a.jpg","/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg","Forrest Gump","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","Released","The world will never be the same once you've seen it through the eyes of Forrest Gump.","en","67.181",,,,,"1994-06-23","142"
"22","movie","tt0325980","/wW7Wt5bXzPy4VOEE4LTIUDyDgBo.jpg","/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg","Pirates of the Caribbean: The Curse of the Black Pearl","Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.","Released","Prepare to be blown out of the water.","en","84.922","295","Pirates of the Caribbean Collection","/zRBaZxS5YauLvRYjAdL4AUCwlht.jpg","/wxgD3fB5lQ2sGJLog0rvXW049Pf.jpg","2003-07-09","143"
"24","movie","tt0266697","/k9Ps0EsrTnqbQ4oTTWx628BQ2TW.jpg","/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg","Kill Bill: Vol. 1","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.","Released","A roaring rampage of revenge.","en","37.122","2883","Kill Bill Collection","/tf1nUtw3LJGUGv1EFFi23iz6ngr.jpg","/oCLKNACMNrEf4T1EP6BpMXDl5m1.jpg","2003-10-10","111"
"35","movie","tt0462538","/yajM2akz8QKOx0RdvN6OYaxe3GN.jpg","/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg","The Simpsons Movie","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","Released","See our family. And feel better about yours.","en","59.628",,,,,"2007-07-25","87"
"38","movie","tt0338013","/jz9Kep0xWjiA6QDHSsd43ASxNfj.jpg","/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg","Eternal Sunshine of the Spotless Mind","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.","Released","You can erase someone from your mind. Getting them out of your heart is another story.","en","44.085",,,,,"2004-03-19","108"
"58","movie","tt0383574","/vv5a8u6e40kyH0Hp6HuamAgzRai.jpg","/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg","Pirates of the Caribbean: Dead Man's Chest","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.","Released","Captain Jack is back!","en","72.382","295","Pirates of the Caribbean Collection","/zRBaZxS5YauLvRYjAdL4AUCwlht.jpg","/wxgD3fB5lQ2sGJLog0rvXW049Pf.jpg","2006-07-06","151"
"74","movie","tt0407304","/nH6hPhJq3EEv9CnBZgXU3IQnpJo.jpg","/6Biy7R9LfumYshur3YKhpj56MpB.jpg","War of the Worlds","Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.","Released","They're already here.","en","42.991",,,,,"2005-06-28","117"
"76","movie","tt0112471","/qA2TyqPldTtoTVY3LKrNIG5g6bH.jpg","/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg","Before Sunrise","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Released","Can the greatest romance of your life last only one night?","en","23.528","123800","Before... Collection","/bBS1CfspKXq5RBok85hYvtW9ZwE.jpg","/to3l6Gwzd7FGWa9Spc708IP1K7l.jpg","1995-01-27","101"
"77","movie","tt0209144","/q2CtXYjp9IlnfBcPktNkBPsuAEO.jpg","/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg","Memento","Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","Released","Some memories are best forgotten.","en","30.725",,,,,"2000-10-11","113"
"78","movie","tt0083658","/eIi3klFf7mp3oL5EEF4mLIDs26r.jpg","/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg","Blade Runner","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","Released","Man has made his match... now it's his problem.","en","46.628","422837","Blade Runner Collection","/qTcATCpiFDcgY8snQIfS2j0bFP7.jpg","/bSHZIvLoPBWyGLeiAudN1mXdvQX.jpg","1982-06-25","118"
"80","movie","tt0381681","/zwgDZw9dyrgkYz2RCOb2HvUDlt2.jpg","/gycdE1ARByGQcK4fYR2mgpU6OO.jpg","Before Sunset","Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.","Released","What if you had a second chance with the one that got away?","en","20.154","123800","Before... Collection","/bBS1CfspKXq5RBok85hYvtW9ZwE.jpg","/to3l6Gwzd7FGWa9Spc708IP1K7l.jpg","2004-06-16","80"
"95","movie","tt0120591","/sODk4VuMTt8S56zYFOr1Kx8BFqu.jpg","/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg","Armageddon","When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.","Released","The Earth's Darkest Day Will Be Man's Finest Hour","en","41.687",,,,,"1998-07-01","151"
"97","movie","tt0084827","/qVAwqSxOb2J85vPxYX00vohQVYK.jpg","/zwSFEczP7AzqugAHHIX3zHniT0t.jpg","Tron","When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.","Released","A world inside the computer where man has never been. Until now.","en","23.251","63043","TRON Collection","/cvFlDIfOwhYe4ouAAfdyq9E5zlZ.jpg","/o8NBfffQPE9tHTR9l7FuWbdVPHu.jpg","1982-07-09","96"
"105","movie","tt0088763","/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg","/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg","Back to the Future","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","Released","He's the only kid ever to get into trouble before he was born.","en","57.395","264","Back to the Future Collection","/5Xsu2o5IsZRuuxCEVZ9nVve21FP.jpg","/AqQotqj7XOI6GjB28nhMMa8YzOT.jpg","1985-07-03","116"
"106","movie","tt0093773","/YL3GPOiDcNraIJOVDCZsoOBoDy.jpg","/9XibNLfmUWCg0PPydmyoCl1KxvF.jpg","Predator","A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.","Released","Soon the hunt will begin.","en","60.811","399","Predator Collection","/mm2t5dd1QFxtX6X56Z9U5ucsIb1.jpg","/fXVzk9OxQwROCuiWvd0Cv76qmZi.jpg","1987-06-12","107"
"118","movie","tt0367594","/cwdXZIBO9Ytmwbai26nGxoJGL6j.jpg","/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg","Charlie and the Chocolate Factory","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","Released","Prepare for a taste of adventure.","en","83.142",,,,,"2005-07-13","115"
"120","movie","tt0120737","/tqj7NKj11keFuLzPsBDMUq2dOUO.jpg","/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg","The Lord of the Rings: The Fellowship of the Ring","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","Released","One ring to rule them all","en","94.48","119","The Lord of the Rings Collection","/oENY593nKRVL2PnxXsMtlh8izb4.jpg","/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg","2001-12-18","179"
"121","movie","tt0167261","/nS4picOwj15APKzJeBCk6EBcMG5.jpg","/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg","The Lord of the Rings: The Two Towers","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","Released","A New Power Is Rising.","en","79.678","119","The Lord of the Rings Collection","/oENY593nKRVL2PnxXsMtlh8izb4.jpg","/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg","2002-12-18","179"
"122","movie","tt0167260","/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg","/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg","The Lord of the Rings: The Return of the King","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.","Released","The eye of the enemy is moving.","en","98.134","119","The Lord of the Rings Collection","/oENY593nKRVL2PnxXsMtlh8izb4.jpg","/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg","2003-12-01","201"
"128","movie","tt0119698","/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg","/cMYCDADoLKLbB83g4WnJegaZimC.jpg","Princess Mononoke","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","Released","The Fate Of The World Rests On The Courage Of One Warrior.","ja","37.735",,,,,"1997-07-12","134"
"129","movie","tt0245429","/Ab8mkHmkYADjU7wQiOkia9BzGvS.jpg","/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","Spirited Away","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","Released","","ja","71.8",,,,,"2001-07-20","125"
"141","movie","tt0246578","/msCHK5Kh1YbdZ0zPJ2nzPUhhSN9.jpg","/j73zf3TjWR9j8pHLndaHWh0YWvN.jpg","Donnie Darko","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","Released","28 days, 6 hours, 42 minutes, 12 seconds... that is when the world will end.","en","31.966","178106","Darko Collection","/f3DaaNRpyeZawist5Qt21hlzL2I.jpg","/hja7IzXp6how8eD1WHriI386TGY.jpg","2001-10-24","114"
"149","movie","tt0094625","/fK40VGYIm7hmKrLJ26fgPQU0qRG.jpg","/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg","Akira","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.","Released","Neo-Tokyo is about to E.X.P.L.O.D.E.","ja","34.268",,,,,"1988-07-16","124"
"153","movie","tt0335266","/45He7gApNQyDbqCDjxew9BnHzjf.jpg","/wkSzJs7oMf8MIr9CQVICsvRfwA7.jpg","Lost in Translation","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.","Released","Everyone wants to be found.","en","26.773",,,,,"2003-09-18","102"
