"TmdbId","Servie Type","ImdbId","Backdrop Path","Poster Path","Title","Overview","Status","Tagline","Language","Popularity","Number Of Seasons","Number Of Episodes","First Air Date","Last Air Date"
"246","tv",,"/kU98MbVVgi72wzceyrEbClZmMFe.jpg","/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg","Avatar: The Last Airbender","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Ended","Water. Earth. Fire. Air.","en","53.274","3","61","2005-02-21","2008-07-19"
"456","tv",,"/pxeqQX4qFQ0cVxPt5SWZENV5BH3.jpg","/vHqeLzYl3dEAutojCO26g0LIkom.jpg","The Simpsons","Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.","Returning Series","Putting the Fun back in Dysfunctional!","en","1518.996","35","752","1989-12-17","2023-05-21"
"890","tv",,"/fGXhmKyqRmx6NN3gQHeWNmiEryl.jpg","/y2ah9t0navXyIvoHg1uIbIHO3tt.jpg","Neon Genesis Evangelion","At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.","Ended","","ja","106.693","1","26","1995-10-04","1996-03-27"
"1396","tv",,"/9faGSFi5jam6pDWGNd0p8JcJgXQ.jpg","/3xnWaLQjelJDDF7LT1WBo6f4BRe.jpg","Breaking Bad","When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","Ended","Change the equation.","en","327.611","5","62","2008-01-20","2013-09-29"
"1399","tv",,"/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg","/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg","Game of Thrones","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","Ended","Winter Is Coming","en","717.527","8","73","2011-04-17","2019-05-19"
"1429","tv",,"/rqbCbjB19amtOtFQbb3K2lgm2zv.jpg","/8C5gYahMFmzHKGNID8QrG5t25WU.jpg","Attack on Titan","Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.","Returning Series","","ja","135.512","4","87","2013-04-07","2022-04-04"
"1434","tv",,"/wU1y7snEVYiJBpZ2k1DjIpHgJbx.jpg","/hw2vi8agaJZ7oeSvS8uEYgOtK32.jpg","Family Guy","Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.","Returning Series","Parental Discretion Advised, that's how you know it's good.","en","569.155","22","411","1999-01-31","2023-05-07"
"1668","tv",,"/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg","/f496cm9enuEsZkSPzCwnTESEK5s.jpg","Friends","Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.","Ended","I'll be there for you","en","316.29","10","228","1994-09-22","2004-05-06"
"2316","tv",,"/bX6Sypdpk0r8YFdVPoc3yeyvSmm.jpg","/7DJKHzAi83BmQrWLrYYOqcoKfhR.jpg","The Office","The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.","Ended","A comedy for anyone whose boss is an idiot.","en","267.57","9","186","2005-03-24","2013-05-16"
"4686","tv",,"/v5hLUEpbn3G3oLXLdF7lFikDivb.jpg","/pT0NlYVIkwM2zAw9oUkePwrOlxW.jpg","Ben 10","When 10-year-old Ben Tennyson discovers a mysterious device, he gains the power to change into ten different alien heroes, each with uniquely awesome powers. With such abilities at his disposal, Ben realizes a greater responsibility to help others and stop evildoers, but that doesn't mean he's above a little superpowered mischief now and then.","Ended","","en","75.19","4","52","2005-12-27","2008-04-15"
