"Genre Id","Servie Tmdb Id","Servie Type"
"1","11","movie"
"2","11","movie"
"19","11","movie"
"3","12","movie"
"8","12","movie"
"4","13","movie"
"7","13","movie"
"18","13","movie"
"1","22","movie"
"2","22","movie"
"9","22","movie"
"1","24","movie"
"5","24","movie"
"3","35","movie"
"4","35","movie"
"8","35","movie"
"7","38","movie"
"18","38","movie"
"19","38","movie"
"1","58","movie"
"2","58","movie"
"9","58","movie"
"2","74","movie"
"19","74","movie"
"23","74","movie"
"7","76","movie"
"18","76","movie"
"14","77","movie"
"23","77","movie"
"7","78","movie"
"19","78","movie"
"23","78","movie"
"7","80","movie"
"18","80","movie"
"1","95","movie"
"2","95","movie"
"19","95","movie"
"23","95","movie"
"1","97","movie"
"2","97","movie"
"19","97","movie"
"2","105","movie"
"4","105","movie"
"19","105","movie"
"1","106","movie"
"2","106","movie"
"19","106","movie"
"23","106","movie"
"2","118","movie"
"4","118","movie"
"8","118","movie"
"9","118","movie"
"1","120","movie"
"2","120","movie"
"9","120","movie"
"1","121","movie"
"2","121","movie"
"9","121","movie"
"1","122","movie"
"2","122","movie"
"9","122","movie"
"2","128","movie"
"3","128","movie"
"9","128","movie"
"3","129","movie"
"8","129","movie"
"9","129","movie"
"7","141","movie"
"9","141","movie"
"14","141","movie"
"1","149","movie"
"3","149","movie"
"19","149","movie"
"7","153","movie"
"18","153","movie"
"1","155","movie"
"5","155","movie"
"7","155","movie"
"23","155","movie"
"5","161","movie"
"23","161","movie"
"5","163","movie"
"23","163","movie"
"2","165","movie"
"4","165","movie"
"19","165","movie"
"1","169","movie"
"19","169","movie"
"23","169","movie"
"5","176","movie"
"11","176","movie"
"14","176","movie"
"1","180","movie"
"14","180","movie"
"19","180","movie"
"23","180","movie"
"2","196","movie"
"4","196","movie"
"19","196","movie"
"7","207","movie"
"5","214","movie"
"11","214","movie"
"23","214","movie"
"11","215","movie"
"1","218","movie"
"19","218","movie"
"23","218","movie"
"5","238","movie"
"7","238","movie"
"5","240","movie"
"7","240","movie"
"5","242","movie"
"7","242","movie"
"23","242","movie"
"1","246","tv"
"2","246","tv"
"3","246","tv"
"9","246","tv"
"19","246","tv"
"1","253","movie"
"2","253","movie"
"23","253","movie"
"1","254","movie"
"2","254","movie"
"7","254","movie"
"1","272","movie"
"5","272","movie"
"7","272","movie"
"5","278","movie"
"7","278","movie"
"1","280","movie"
"19","280","movie"
"23","280","movie"
"1","285","movie"
"2","285","movie"
"9","285","movie"
"7","289","movie"
"18","289","movie"
"1","296","movie"
"19","296","movie"
"23","296","movie"
"7","297","movie"
"9","297","movie"
"18","297","movie"
"5","298","movie"
"23","298","movie"
"4","310","movie"
"9","310","movie"
"1","314","movie"
"5","314","movie"
"9","314","movie"
"14","314","movie"
"5","322","movie"
"7","322","movie"
"14","322","movie"
"23","322","movie"
"1","326","movie"
"2","326","movie"
"5","326","movie"
"23","326","movie"
"2","329","movie"
"19","329","movie"
"1","330","movie"
"2","330","movie"
"19","330","movie"
"1","331","movie"
"2","331","movie"
"19","331","movie"
"23","331","movie"
"7","345","movie"
"14","345","movie"
"23","345","movie"
"7","380","movie"
"1","393","movie"
"5","393","movie"
"23","393","movie"
"2","411","movie"
"8","411","movie"
"9","411","movie"
"7","424","movie"
"10","424","movie"
"24","424","movie"
"2","425","movie"
"3","425","movie"
"4","425","movie"
"8","425","movie"
"1","435","movie"
"2","435","movie"
"19","435","movie"
"23","435","movie"
"3","456","tv"
"4","456","tv"
"8","456","tv"
"5","497","movie"
"7","497","movie"
"9","497","movie"
"1","503","movie"
"2","503","movie"
"7","503","movie"
"23","503","movie"
"4","508","movie"
