"TmdbId","Title","Season Number","Episode Number","Watched","Notes"
"64464","11.22.63","1","1","true",
"64464","11.22.63","1","2","true",
"64464","11.22.63","1","3","true",
"64464","11.22.63","1","4","true",
"64464","11.22.63","1","5","true",
"64464","11.22.63","1","6","true",
"64464","11.22.63","1","7","true",
"64464","11.22.63","1","8","true",
"66788","13 Reasons Why","1","1","true",
"66788","13 Reasons Why","1","2","true",
"66788","13 Reasons Why","1","3","true",
"66788","13 Reasons Why","1","4","true",
"66788","13 Reasons Why","1","5","true",
"66788","13 Reasons Why","1","6","true",
"66788","13 Reasons Why","1","7","true",
"66788","13 Reasons Why","1","8","true",
"66788","13 Reasons Why","1","9","true",
"66788","13 Reasons Why","1","10","true",
"66788","13 Reasons Why","1","11","true",
"66788","13 Reasons Why","1","12","true",
"66788","13 Reasons Why","1","13","true",
"66788","13 Reasons Why","2","1","true",
"66788","13 Reasons Why","2","2","true",
"66788","13 Reasons Why","2","3","true",
"66788","13 Reasons Why","2","4","true",
"66788","13 Reasons Why","2","5","true",
"66788","13 Reasons Why","2","6","true",
"66788","13 Reasons Why","2","7","true",
"66788","13 Reasons Why","2","8","true",
"66788","13 Reasons Why","2","9","true",
"66788","13 Reasons Why","2","10","true",
"66788","13 Reasons Why","2","11","true",
"66788","13 Reasons Why","2","12","true",
"66788","13 Reasons Why","2","13","true",
"66788","13 Reasons Why","3","1","true",
"66788","13 Reasons Why","3","2","true",
"66788","13 Reasons Why","3","3","true",
"66788","13 Reasons Why","3","4","true",
"66788","13 Reasons Why","3","5","true",
"66788","13 Reasons Why","3","6","true",
"66788","13 Reasons Why","3","7","true",
"66788","13 Reasons Why","3","8","true",
"66788","13 Reasons Why","3","9","true",
"66788","13 Reasons Why","3","10","true",
"66788","13 Reasons Why","3","11","true",
"66788","13 Reasons Why","3","12","true",
"66788","13 Reasons Why","3","13","true",
"67043","91 Days","1","1","true",
"67043","91 Days","1","2","true",
"67043","91 Days","1","3","true",
"67043","91 Days","1","4","true",
"67043","91 Days","1","5","true",
"67043","91 Days","1","6","true",
"67043","91 Days","1","7","true",
"67043","91 Days","1","8","true",
"67043","91 Days","1","9","true",
"67043","91 Days","1","10","true",
"67043","91 Days","1","11","true",
"67043","91 Days","1","12","true",
"82696","Adulting","1","1","true",
"82696","Adulting","1","2","true",
"82696","Adulting","1","3","true",
"82696","Adulting","1","4","true",
"82696","Adulting","1","5","true",
"99966","All of Us Are Dead","1","1","true",
"99966","All of Us Are Dead","1","2","true",
"99966","All of Us Are Dead","1","3","true",
"99966","All of Us Are Dead","1","4","true",
"99966","All of Us Are Dead","1","5","true",
"99966","All of Us Are Dead","1","6","true",
"99966","All of Us Are Dead","1","7","true",
"99966","All of Us Are Dead","1","8","true",
"99966","All of Us Are Dead","1","9","true",
"99966","All of Us Are Dead","1","10","true",
"99966","All of Us Are Dead","1","11","true",
"99966","All of Us Are Dead","1","12","true",
"68421","Altered Carbon","1","1","true",
"68421","Altered Carbon","1","2","true",
"68421","Altered Carbon","1","3","true",
"68421","Altered Carbon","1","4","true",
"68421","Altered Carbon","1","5","true",
"68421","Altered Carbon","1","6","true",
"68421","Altered Carbon","1","7","true",
"68421","Altered Carbon","1","8","true",
"68421","Altered Carbon","1","9","true",
"68421","Altered Carbon","1","10","true",
"42589","Another","1","1","true",
"42589","Another","1","2","true",
"42589","Another","1","3","true",
"42589","Another","1","4","true",
"42589","Another","1","5","true",
"42589","Another","1","6","true",
